,NGA,RelTime,SPC1,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money
48,Latium,-2400,0.15737526,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727,0.216666667,0.0875,0.9
49,Latium,-2300,0.15737526,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727,0.216666667,0.0875,0.9
50,Latium,-2200,0.15737526,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727,0.216666667,0.0875,0.9
51,Latium,-2100,0.15737526,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727,0.216666667,0.0875,0.9
52,Latium,-2000,0.15737526,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727,0.216666667,0.0875,0.9
53,Latium,-1900,0.15737526,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727,0.216666667,0.0875,0.9
54,Latium,-1800,0.15737526,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727,0.216666667,0.0875,0.9
55,Latium,-1700,0.15737526,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727,0.216666667,0.0875,0.9
56,Latium,-1600,0.15737526,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727,0.216666667,0.0875,0.9
57,Latium,-1500,0.15737526,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727,0.216666667,0.0875,0.9
58,Latium,-1400,0.15737526,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727,0.216666667,0.0875,0.9
59,Latium,-1300,0.15737526,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727,0.216666667,0.0875,0.9
60,Latium,-1200,0.15737526,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727,0.216666667,0.0875,0.9
61,Latium,-1100,0.096128156,2.425008025,2.804132386,1.222921831,1.079413787,0.009090909,0.027272727,0.216666667,0.0875,0.9
62,Latium,-1000,0.096128156,2.425008025,2.804132386,1.222921831,1.079413787,0.009090909,0.027272727,0.216666667,0.0875,0.9
63,Latium,-900,0.096128156,2.425008025,2.804132386,1.222921831,1.079413787,0.009090909,0.027272727,0.216666667,0.0875,0.9
64,Latium,-800,0.096128156,2.425008025,2.804132386,1.222921831,1.079413787,0.009090909,0.027272727,0.216666667,0.0875,0.9
65,Latium,-700,0.096128156,2.425008025,2.804132386,1.222921831,1.079413787,0.009090909,0.027272727,0.216666667,0.0875,0.9
66,Latium,-600,0.096128156,2.425008025,2.804132386,1.222921831,1.079413787,0.009090909,0.027272727,0.216666667,0.0875,0.9
67,Latium,-500,0.140222167,2.87959963,1.672071746,2.254235342,1.079413787,0.009090909,0.027272727,0.216666667,0.0875,0.9
68,Latium,-400,0.140222167,2.87959963,1.672071746,2.254235342,1.079413787,0.009090909,0.027272727,0.216666667,0.0875,0.9
69,Latium,-300,0.183183681,3.780003673,2.912764977,2.254235342,1.69583685,0.090909091,0.15,0.233333333,0.0875,1.0
70,Latium,-200,0.183183681,3.780003673,2.912764977,2.254235342,1.69583685,0.090909091,0.15,0.233333333,0.0875,1.0
71,Latium,-100,0.189265763,3.38581496,3.633476467,2.38929643,1.69583685,0.090909091,0.15,0.233333333,0.0875,1.0
72,Latium,0,0.541341689,4.468556498,3.0,3.699585852,3.5240901,0.172727273,0.566666667,1.0,0.975,4.0
73,Latium,100,0.558733984,4.468556498,3.0,4.365915004,3.5240901,0.254545455,0.566666667,1.0,0.975,4.0
74,Latium,200,0.597863711,5.0,3.0,4.477121255,3.666666667,0.363636364,0.658333333,0.833333333,0.95,5.0
75,Latium,300,0.605252141,5.176091259,3.0,4.477121255,3.666666667,0.454545455,0.658333333,0.833333333,0.95,5.0
76,Latium,400,0.676971203,5.865116468,4.44263214,4.752063399,4.666666667,0.454545455,0.658333333,0.833333333,0.95,5.0
77,Latium,500,0.761244139,6.56775085,5.86332286,5.322219295,4.790273818,0.363636364,0.833333333,0.833333333,0.975,5.0
78,Latium,600,0.82188895,7.464039891,6.544068044,5.602059991,5.724447285,0.463636364,0.833333333,0.833333333,1.0,5.0
79,Latium,700,0.926778876,7.698970004,6.653212514,6.032370081,8.174936886,0.645454545,0.991666667,0.833333333,1.0,5.0
80,Latium,800,0.931204977,7.721346318,6.763427994,6.059856612,8.174936886,0.645454545,0.991666667,0.833333333,1.0,5.0
81,Latium,900,0.929826614,7.820478362,6.698970004,6.0,8.174936886,0.645454545,0.991666667,0.833333333,1.0,5.0
82,Kansai,-100,0.474898734,5.252793553,3.698758651,4.187032003,3.063673651,0.557142857,0.525,0.233333333,0.1875,4.0
83,Kansai,0,0.534590675,5.463875952,3.698758651,4.076258406,3.368678523,0.557142857,0.525,0.333333333,0.525,4.0
84,Kansai,100,0.581717145,5.486327393,3.698758651,4.323918143,3.368678523,0.557142857,0.625,0.833333333,0.65,4.0
85,Kansai,200,0.746240665,6.23413441,5.118778226,4.741330548,4.545572451,0.87,0.77,0.85,0.983333333,5.0
86,Kansai,300,0.763180667,6.368928701,5.118778226,5.474630102,4.545572451,0.87,0.77,0.85,0.983333333,5.0
87,Kansai,400,0.816838575,6.602059991,5.538920381,5.301029996,4.532506503,0.89,0.833333333,1.0,1.0,5.0
88,Kansai,500,0.81897316,6.737128653,5.538920381,5.301029996,4.532506503,0.89,0.833333333,1.0,1.0,5.0
89,Kansai,600,0.816802571,6.660257286,5.538920381,5.243038049,4.532506503,0.89,0.833333333,1.0,1.0,5.0
90,Kansai,700,0.81879064,6.764556147,5.538920381,5.243038049,4.532506503,0.89,0.833333333,1.0,1.0,5.0
91,Kansai,800,0.803606018,6.789821821,5.469822016,5.276922068,5.028293525,0.736363636,0.909090909,1.0,0.975,4.0
92,Kansai,900,0.802764411,6.776874036,5.469822016,5.116089261,5.028293525,0.736363636,0.909090909,1.0,0.975,4.0
93,Kansai,1000,0.819799612,7.096910013,5.469822016,5.176091259,5.909872364,0.69,0.916666667,1.0,0.9875,4.0
94,Kansai,1100,0.746661419,7.230448921,4.176091259,4.602059991,5.083770907,0.49,0.84,0.985714286,0.925,5.0
95,Kansai,1200,0.824980001,7.397940009,5.469822016,5.0,5.24495594,0.71,0.925,0.983333333,0.9875,5.0
96,Kansai,1300,0.923082938,7.462397998,5.469822016,6.113943352,6.534359002,0.857142857,1.0,1.0,1.0,6.0
97,Kansai,1400,0.924962176,7.505149978,5.469822016,6.146128036,6.534359002,0.857142857,1.0,1.0,1.0,6.0
98,Orkhon Valley,-200,0.430236291,5.579532352,6.602059991,3.9286318,3.326129762,0.281818182,0.175,0.233333333,0.1,1.0
99,Orkhon Valley,-100,0.430236291,5.579532352,6.602059991,3.9286318,3.326129762,0.281818182,0.175,0.233333333,0.1,1.0
100,Orkhon Valley,0,0.520649178,5.579532352,6.602059991,3.705819063,3.326129762,0.281818182,0.2875,0.766666667,0.4875,1.0
101,Orkhon Valley,100,0.60090941,5.685962239,6.658149571,4.059387574,3.286512114,0.327272727,0.328571429,0.8,0.9,4.0
102,Orkhon Valley,200,0.596966926,5.627382854,6.520500423,4.550521787,3.045309787,0.34,0.4,0.8,0.666666667,4.0
103,Upper Egypt,-1300,0.151831804,2.155354857,3.469650438,1.825387878,1.069412609,0.1,0.245454545,0.228571429,0.1,0.9
104,Upper Egypt,-1200,0.151831804,2.155354857,3.469650438,1.825387878,1.069412609,0.1,0.245454545,0.228571429,0.1,0.9
105,Upper Egypt,-1100,0.151831804,2.155354857,3.469650438,1.825387878,1.069412609,0.1,0.245454545,0.228571429,0.1,0.9
106,Upper Egypt,-1000,0.151831804,2.155354857,3.469650438,1.825387878,1.069412609,0.1,0.245454545,0.228571429,0.1,0.9
107,Upper Egypt,-900,0.151831804,2.155354857,3.469650438,1.825387878,1.069412609,0.1,0.245454545,0.228571429,0.1,0.9
108,Upper Egypt,-800,0.151831804,2.155354857,3.469650438,1.825387878,1.069412609,0.1,0.245454545,0.228571429,0.1,0.9
109,Upper Egypt,-700,0.174698163,2.064087318,1.215576585,1.888813959,2.061205281,0.1,0.318181818,0.25,0.1,3.0
110,Upper Egypt,-600,0.312389862,3.987022162,3.77114498,3.04059473,2.247513193,0.1,0.318181818,0.25,0.1,3.0
111,Upper Egypt,-500,0.348164483,4.548768068,3.77114498,4.113943352,2.394538614,0.1,0.318181818,0.25,0.1,3.0
112,Upper Egypt,-400,0.389162155,4.113943352,4.269327676,3.69526637,2.326862452,0.163636364,0.366666667,0.483333333,0.1,3.0
113,Upper Egypt,-300,0.405379961,4.698970004,4.269327676,3.69526637,2.326862452,0.254545455,0.366666667,0.483333333,0.1,3.0
114,Upper Egypt,-200,0.440667126,4.698970004,3.924065892,4.137324636,2.321322484,0.227272727,0.390909091,0.65,0.391673707,3.0
115,Upper Egypt,-100,0.446453908,4.698970004,3.924065892,4.137324636,2.321322484,0.218181818,0.390909091,0.65,0.50024518,3.0
116,Upper Egypt,0,0.587768498,6.016363423,5.014811943,4.019438989,4.158252777,0.245454545,0.727272727,0.833333333,0.542857143,2.7
117,Upper Egypt,100,0.587768498,6.016363423,5.014811943,4.019438989,4.158252777,0.245454545,0.727272727,0.833333333,0.542857143,2.7
118,Upper Egypt,200,0.585600676,6.069928313,5.0,4.029784862,3.85709698,0.254545455,0.727272727,0.816666667,0.7,2.7
119,Upper Egypt,300,0.594301319,6.069928313,5.426511261,4.029784862,3.85709698,0.254545455,0.727272727,0.816666667,0.7,2.7
120,Upper Egypt,400,0.59533374,6.069928313,5.477121255,4.029784862,3.85709698,0.254545455,0.727272727,0.816666667,0.7,2.7
121,Upper Egypt,500,0.700498393,6.140858337,5.463125716,4.698970004,5.310936358,0.58,0.741666667,0.833333333,0.95,2.7
122,Upper Egypt,600,0.700498393,6.140858337,5.463125716,4.698970004,5.310936358,0.58,0.741666667,0.833333333,0.95,2.7
123,Upper Egypt,700,0.700498393,6.140858337,5.463125716,4.698970004,5.310936358,0.58,0.741666667,0.833333333,0.95,2.7
124,Upper Egypt,800,0.703382928,6.176091259,5.19743168,4.507365033,5.10715283,0.67,0.666666667,0.833333333,0.8625,2.7
125,Upper Egypt,900,0.703382928,6.176091259,5.19743168,4.507365033,5.10715283,0.67,0.666666667,0.833333333,0.8625,2.7
126,Upper Egypt,1000,0.593117294,5.539828349,4.084517722,4.325393814,3.472827476,0.78,0.7,0.816666667,0.9125,1.0
127,Upper Egypt,1100,0.7098153,6.368155105,5.376576957,4.477121255,4.755322347,0.7,0.741666667,0.833333333,1.0,2.7
128,Upper Egypt,1200,0.714698406,6.368155105,5.615950052,4.477121255,4.755322347,0.7,0.741666667,0.833333333,1.0,2.7
129,Upper Egypt,1300,0.715458544,6.368155105,5.653212514,4.477121255,4.755322347,0.7,0.741666667,0.833333333,1.0,2.7
130,Upper Egypt,1400,0.66355083,5.468378237,4.100261341,4.811220374,5.417666089,0.645454545,0.65,0.833333333,0.98,2.7
131,Upper Egypt,1500,0.66355083,5.468378237,4.100261341,4.811220374,5.417666089,0.645454545,0.65,0.833333333,0.98,2.7
132,Upper Egypt,1600,0.758906095,6.525044807,5.812913357,4.77815125,5.789788843,0.790909091,0.75,0.833333333,0.9875,2.7
133,Upper Egypt,1700,0.765500447,6.525044807,5.954242509,4.903089987,5.789788843,0.790909091,0.75,0.833333333,0.9875,2.7
134,Upper Egypt,1800,0.76643388,6.525044807,6.0,4.903089987,5.789788843,0.790909091,0.75,0.833333333,0.9875,2.7
135,Upper Egypt,1900,0.771421572,6.518352671,5.872738827,5.456056499,5.505585545,0.790909091,0.766666667,0.857142857,0.875,3.0
136,Upper Egypt,2000,0.768990847,6.518352671,5.753583059,5.456056499,5.505585545,0.790909091,0.766666667,0.857142857,0.875,3.0
